Names	total	elements
		CARD8
		RGS4
		CEP120
		SERF1A
		MFN2
		RANBP6
		BAMBI
		RAB5B
		DPYD
		MBD5
		MYO5C
		LIF
		SDC2
		COX7A2
		KDM2A
		GCA
		EPHA4
		OCRL
		GPATCH2
		PSG3
		HSPA8
		HP1BP3
		EPGN
		TCF4
		NR2C2
		AGTPBP1
		FXN
		PHF1
		PBLD
		UBE2W
		AHNAK
		NDNF
		CDH24
		DLEC1
		SERTAD2
		IQSEC2
		PGM2L1
		ANKRD52
		RPS6KA6
		PRND
		TAGAP
		BCL2L15
		TMEM25
		PLSCR4
		KCNK10
		EIF4E2
		CHAF1A
		NENF
		ENTPD7
		SYTL4
		PDGFRB
		ZNF107
		RILPL1
		TNKS2
		ZNF417
		MYF5
		NEDD4L
		HARS
		RELL1
		LDLR
		DNAJC16
		TANC2
		DLGAP1
		KLHL28
		NTN4
		SERP1
		CNTNAP3B
		EPHA7
		MAP7
		MARVELD3
		ZNF264
		NKIRAS1
		ATG7
		SUSD6
		LRP1B
		MYCL
		HBP1
		FAM19A1
		XIAP
		GNS
		MKLN1
		RAB11FIP4
		B2M
		SUMF1
		OSM
		C6orf141
		TAOK2
		ZNF561
		RMDN3
		NAV2
		FGF12
		MICA
		ANKRD17
		UBE2J1
		REPS2
		HAS2
		PRDM6
		CNOT7
		BTBD9
		NT5E
		FAM129B
		COL19A1
		EAF1
		CCND1
		CTSK
		MICOS10-NBL1
		AP2B1
		BMP2
		UBE2Q2
		PCDH15
		ESR1
		ARHGAP12
		PLEKHO2
		MEX3D
		FKBP5
		DPY19L3
		OLIG1
		NFAT5
		CMKLR1
		EDA2R
		BTBD10
		ZBTB47
		HMBOX1
		DMTF1
		FAM53A
		KMT2B
		GRTP1
		PCDHA12
		LRIG1
		ITGB8
		FBXL5
		WDCP
		RASGEF1A
		HS3ST5
		VEGFA
		PPP6R2
		MFAP3L
		DERL2
		NRSN1
		SLC31A2
		ZNF780B
		C2orf69
		DOCK4
		VPS53
		SLC5A3
		NR4A3
		FRMD4A
		C3orf70
		MCTP2
		UNKL
		PCDHA7
		MAVS
		YES1
		LAMA3
		ABT1
		SLC11A1
		ZBTB4
		MOSMO
		MSTO1
		AGA
		TRIP10
		AMPD3
		ST6GALNAC3
		CDC40
		GALNT10
		ELK4
		METAP1
		MMP24
		RPS6KA2
		AVL9
		RFK
		ZFYVE9
		WFS1
		SLCO1C1
		KIF23
		SMOC2
		BEST3
		PPARD
		NUP35
		NPAS2
		VASH2
		UBR1
		FAM3C
		ADARB1
		CCSER2
		SOGA1
		SIKE1
		COL4A2
		TCF7L1
		UBASH3B
		GLO1
		SERPINB8
		RB1CC1
		CLEC4D
		RCOR1
		ABHD5
		MKNK2
		F2RL2
		ZDHHC1
		MMP3
		FOXJ3
		IL17RD
		SASH1
		PCDHA5
		SLC22A23
		LDLRAP1
		ABCA10
		TBCEL
		ELOA
		HDAC4
		FAM102A
		NTRK2
		MIER2
		KIAA0513
		WDR33
		LIAS
		MAPK1
		FNIP2
		TSKU
		KLK7
		PSD
		PAX6
		FAM117A
		SPTY2D1
		NBEA
		RASL12
		DAZAP2
		DHRS12
		PIP4K2A
		ARHGAP1
		SIRT5
		BCR
		TMX3
		SH3BP5
		SEC22C
		SLC49A4
		SIRPA
		CSGALNACT1
		ARHGEF28
		TYW5
		CFL2
		RASA2
		TASOR
		RBSN
		ZHX2
		RPS6KA4
		SLITRK3
		LRP8
		BOD1L1
		ITPKB
		SLC25A27
		IPCEF1
		GLIS3
		FBXL22
		TNKS1BP1
		TMEM50B
		SZT2
		MUC17
		TMEM167A
		NRG3
		RNASEH2B
		F2R
		RBBP7
		NCOR1
		MCHR2
		PRDM10
		TMBIM6
		DNAJC27
		TNFRSF21
		TBX3
		NFE2L1
		C16orf72
		RASL11B
		CYBB
		SART1
		UXS1
		MAP3K12
		SLC24A4
		IKZF4
		PCMTD1
		RSBN1
		MVK
		FER
		IL25
		GPR6
		RAX
		GDF11
		CCL1
		GGCX
		MCC
		PTH
		RAB22A
		NPLOC4
		FGF5
		RB1
		BAHD1
		RNF24
		SHOC2
		NTNG1
		GPAM
		NABP1
		XRN1
		ZFYVE16
		CLIP4
		E2F2
		SLITRK2
		THRA
		LRRC20
		NR2C1
		TMEM64
		BRMS1L
		TMEM123
		DDHD1
		C18orf32
		PPP6R3
		RNH1
		SLC41A1
		STK11
		LRCH1
		VASP
		CARNMT1
		SULF1
		UNC80
		CDC23
		SUCO
		PBXIP1
		ZNF512B
		NBL1
		NMUR2
		RAB11FIP5
		CDKN1A
		RPS6KA1
		HCN4
		CPOX
		FAM168A
		TBC1D15
		FAM219B
		PDZD11
		CELSR2
		CCDC71L
		LZIC
		AJUBA
		PIK3R1
		PTPRJ
		SLC46A3
		TET1
		TCTEX1D1
		EIF4H
		KLHL20
		DLC1
		ANKRD33B
		SPRY4
		C9orf40
		RORC
		MXD1
		SNX8
		WDR37
		SHTN1
		SNX12
		FNDC3B
		ZIM3
		GPR63
		FASTK
		AREL1
		PPP1R21
		PCBP2
		ARHGAP35
		TMEM131L
		CAPN15
		NEK9
		PREX1
		NEURL1B
		SP8
		CTSA
		CALD1
		TGFB1I1
		RAB10
		TLE4
		DNM1L
		ZNF2
		SFMBT1
		DNAL1
		ARHGAP24
		C16orf70
		RNF11
		CERS6
		CLEC12B
		HTR2A
		UCP3
		BBIP1
		LPIN1
		MKRN1
		CCP110
		CEP128
		ELK3
		COMMD6
		OLFM3
		RRP15
		STX6
		LIMK1
		ZSCAN20
		FBXO28
		INO80
		TMTC1
		ETV1
		USP28
		SLC35E2A
		IRF9
		PPP2R3A
		MYO1D
		FSD1L
		MAPK4
		SFXN5
		BHLHE41
		SYT16
		AAK1
		DTNA
		JRKL
		AMIGO2
		AKT3
		SIK1
		GIGYF1
		TBC1D8B
		RUFY2
		FAM45A
		NDEL1
		KMT2C
		EPHB4
		ARSJ
		KCNE4
		PARD6B
		KAT2B
		SMAD6
		PDLIM5
		MAST3
		BMP8B
		YPEL2
		PCDHA6
		RBMS1
		PSD3
		FANCD2
		DUSP8
		ZNF652
		DRD1
		CDC25A
		LTV1
		KIF26B
		UGCG
		PRCP
		HECA
		MICU3
		CXCL14
		RGMB
		SOS1
		JPT1
		AFF1
		AGFG1
		ERI1
		ATXN7L1
		SETD2
		NBEAL1
		ZFP28
		KLF11
		IRF1
		DPYSL2
		ARL1
		SOX4
		PTPDC1
		RAB8B
		PKD1
		LAPTM4A
		PHLPP2
		KIAA1522
		ABL2
		CRY2
		GPR137B
		TGM2
		MECP2
		ZNF202
		PNPLA4
		MAP3K5
		VPS26A
		SQSTM1
		CYP2U1
		TMEM127
		PRICKLE3
		YOD1
		PTGDR
		TMEM267
		SLC16A7
		ST3GAL1
		MRPL19
		SYT10
		KATNAL1
		PCDHA4
		FYCO1
		SNTG1
		C14orf28
		SFR1
		MINK1
		TRPV6
		SOCS6
		GON4L
		FAS
		BTN3A2
		ADAT2
		REEP3
		VWA8
		CYSLTR2
		TRIM3
		REST
		GMCL1
		ULK1
		SLC40A1
		MAP3K14
		PHC3
		MYO5B
		FEM1B
		GOLPH3
		CD36
		USP24
		TWF1
		CCSER1
		MBTPS1
		DUSP2
		PAG1
		CAMK2D
		MARCH8
		FGD4
		RNF145
		FAT2
		E2F1
		COIL
		BNIP2
		STRIP2
		COA5
		MOG
		ERAP1
		PRRG4
		ACTR1A
		NCEH1
		RD3
		MYNN
		ORMDL3
		CORO2B
		DCUN1D3
		RAPGEFL1
		TP73
		COL4A3
		C11orf58
		TUSC2
		MASTL
		POGK
		ISPD
		LITAF
		TRIM37
		FOXJ2
		PCDHA2
		PDRG1
		CC2D1A
		PPP4R3B
		PCDHA11
		GOLGA1
		MTF1
		RNF2
		ABCD2
		PFN2
		RRAS2
		COX8C
		NR2C2AP
		MCM3
		MAP10
		PITPNA
		CDC37L1
		UBR5
		NRBP1
		ZNF502
		PEAK1
		PRR14L
		LIMA1
		ZNF236
		ZXDA
		AKTIP
		LYST
		FURIN
		SLC16A9
		EGR2
		PLEKHA3
		RSRP1
		FRMD6
		PLS1
		CNRIP1
		MAPRE3
		PPP1R3B
		PCDHA9
		NAA50
		UNK
		PDPR
		ZRANB1
		EGLN1
		SCD
		KIAA1147
		SGTB
		CACUL1
		MYCT1
		STAT3
		WDR36
		GID4
		TTC39C
		ADAM9
		XRRA1
		TMUB2
		STXBP5
		TMEM9B
		DPYSL5
		TBC1D20
		KIF5A
		NSL1
		FGF4
		SERF1B
		CCSAP
		MIDN
		C1orf52
		LHX8
		CRIM1
		SEMA7A
		ARHGEF18
		PFKFB3
		PCDHAC2
		SCAMP5
		EREG
		OSTM1
		IPMK
		AGFG2
		CDCA7
		NAPEPLD
		CRYBG3
		ABCG4
		SPECC1
		DENND5B
		RND3
		TNS1
		IL1RAP
		MAT2B
		VDAC1
		KCNJ10
		USP53
		PTPRT
		RBM12B
		RCAN3
		STYX
		RETREG2
		SMAD4
		NXF1
		SGMS1
		SLC17A7
		CAMK2N1
		NFIC
		DDX46
		UTP23
		TES
		NTRK3
		UBE2B
		RXFP1
		GOSR1
		JAZF1
		SLC35F3
		HAUS8
		SEMA4B
		LONP2
		TRAPPC10
		TXLNA
		UBAP1
		POLQ
		ATL3
		LASP1
		COA1
		EGR3
		RAPGEF4
		HEG1
		ZBTB6
		MCL1
		PRR11
		TXNIP
		FAF2
		M6PR
		ZBTB8A
		DCTN6
		GRAMD1A
		KIF3B
		TMEM265
		CSRNP3
		GPR26
		DMRTA2
		RPF2
		TOPORS
		TMEM100
		FXR1
		UBASH3A
		CCDC68
		LAMP5
		ENTPD5
		LYPD6
		MRPL43
		TNFAIP1
		CLOCK
		DSG4
		SRCIN1
		STK11IP
		ARHGEF11
		FBXO21
		FAM13C
		PCDHA10
		ADGRD1
		TBL1X
		MYLIP
		PHIP
		IKBIP
		IKZF2
		DEDD
		TNC
		CBFB
		ZC3H7B
		PPP1R12B
		RCCD1
		DAB2
		YPEL4
		SACS
		EZH1
		PPARA
		SIK1B
		ZDHHC8
		NCKAP5
		VCPKMT
		CHP2
		PTPRD
		TTR
		CACNB4
		LRRC55
		ATP1A2
		ACADSB
		IGSF10
		BMPR2
		ZFP91
		INHBA
		SLC36A1
		ATAD2
		MTA3
		PLXDC2
		SLC16A6
		HIBCH
		AIFM2
		CYP20A1
		NFIB
		MED17
		AK4
		FNBP4
		ENPP5
		ZBTB33
		MXI1
		GINS4
		S1PR1
		ZDHHC9
		MTURN
		ANKRD13C
		MYO19
		KMT5B
		RAB3B
		FOXA1
		ERBB3
		SRPK2
		IFIT5
		PTPN21
		OSR1
		KIAA1671
		ANKFY1
		FIGNL1
		TNFSF13B
		ENTPD4
		TP53INP1
		FOXL2
		SSH1
		ENSA
		CKAP2
		KCNQ2
		MMAA
		ZBTB9
		MARCH6
		NTN1
		CNTNAP3
		PLEKHM1
		SPACA4
		TRAF4
		RRM2
		NOTCH2NLA
		RASSF2
		ADGRL3
		ARAP2
		AP4S1
		PRR15
		CAPRIN2
		IPO7
		CAV1
		GNPDA2
		TSG101
		RNASEL
		LHX6
		RETREG3
		ISM2
		PLAGL2
		ALX4
		THBS2
		TM2D2
		GTPBP10
		DNAJB9
		PAFAH1B2
		MRGPRX3
		SMOC1
		KIAA1191
		TMEM138
		RABEP1
		NEUROG2
		HIF1A
		RASD1
		SLC45A4
		SLC2A4
		AP3D1
		PKMYT1
		SMIM14
		CBLN4
		PANX2
		ZFYVE26
		VSX1
		ZNF280B
		NFATC2IP
		TNRC6C
		KMT2A
		FAM210A
		FGD5
		PCDHA3
		CHRM2
		NRIP3
		RAD17
		PTPRO
		CLEC12A
		C7orf43
		ARID4A
		ST6GALNAC6
		NIPA1
		CYP26B1
		APCDD1
		ACIN1
		SRSF2
		RAB12
		GNB5
		EYS
		CEP126
		GBF1
		FAM189A1
		LMO3
		NEUROG1
		AKAP5
		GBP3
		TMEM242
		SLC29A2
		RSAD2
		TGFBR2
		SRGAP3
		AKAP13
		ZFYVE21
		COBL
		CIT
		PCDHA1
		PDS5A
		OGA
		CHD5
		FAM227A
		JAK1
		ATP12A
		BTBD7
		KCNB1
		P2RX4
		CCND2
		PTPN3
		CYB561D1
		PCDHA8
		CXCL6
		ANKIB1
		SCAMP2
		EIF4A2
		SYT17
		RPGR
		SLC6A9
		FBXO48
		KRT10
		TBC1D2
		PON2
		ST8SIA2
		SIK3
		L3MBTL3
		SS18L1
		HPS5
		TIMP2
		C3orf35
		F2RL3
		ARSE
		CABLES1
		TTPAL
		TMEM132B
		CERS2
		BUD23
		BLOC1S6
		CERCAM
		GKAP1
		PAF1
		BECN1
		PTGS1
		F3
		ZNF385A
		CDC5L
		UBE3C
		ATE1
		ZNFX1
		CD69
		KLF10
		PEX5L
		GPC6
		EPS15L1
		WNK1
		WNT9B
		SALL3
		SCN2B
		VPS13C
		MFSD9
		YTHDC1
		ATG16L1
		NAGK
		STK38
		ago-01
		TBC1D9
		UEVLD
		MTMR3
		C3orf38
		SESN2
		EPB41L5
		ARHGEF10
		TMEM168
		FJX1
		SH2D5
		E2F3
		GIT2
		RNF128
		PXK
		CD274
		LRPAP1
		C21orf58
		FCHO2
		ANO6
		NPAS3
		ATG14
		COQ2
		STK17B
		SUSD1
		PAPOLB
		TRIM8
		SAR1B
		BTG3
		RUBCN
		PDGFC
		RBL1
		MS4A14
		UBXN2A
		IGF2BP1
		GARS
		CAMK2N2
		SNX21
		KRT23
		USP3
		FRMD4B
		SPART
		OSBPL5
		SLC39A6
hsa-miR-144-3p.txt	887	RAB2A
		RALYL
		TACC2
		MMGT1
		AHDC1
		SLC25A3
		NT5DC1
		GALNT3
		UBE2G1
		DAZ3
		PRKRA
		GNAL
		MITF
		TAF9B
		C2orf49
		CACNA2D1
		ZEB1
		USP47
		EPN2
		MET
		BBC3
		CASTOR2
		ZNF181
		TNS3
		PIKFYVE
		USP6NL
		TEK
		DCP1A
		UTS2B
		ALDH3A2
		ANKRD6
		DCAF4L1
		MFF
		FAM98A
		CD38
		CHRAC1
		DHRS7
		CCNE1
		GTF3C3
		RBPJ
		ANKRD20A3
		FAM174A
		RASGRF1
		GOLGA6L10
		IPO4
		CDK8
		EMP2
		FPGT
		PRDM16
		RIN2
		GDF10
		UBR3
		C8orf44-SGK3
		PPM1K
		OTUD3
		CBLL1
		STARD13
		PCDH7
		KL
		ZNF239
		ALCAM
		MAFK
		SON
		FAM76B
		DUSP5
		MMP15
		USP42
		CCT8
		RICTOR
		HSF2
		PTPN5
		PBDC1
		FUCA2
		HVCN1
		THAP1
		SMAD9
		SENP7
		CPEB1
		KDM5A
		INO80D
