Names	total	elements
		 N E U R O G 1  
		 U B A S H 3 B  
		 K C N J 1 0  
		 M I D N  
		 S L C 4 0 A 1  
		 S T A T 3  
		 K L F 1 0  
		 E S R 1  
		 H I A T 1  
		 C N O T 6 L  
		 E L K 4  
		 N U P 3 5  
		 U P F 3 A  
		 C E R C A M  
		 G P R 1 3 7 C  
		 C L U H  
		 A R L 1  
		 G U C Y 1 A 3  
		 A R H G E F 1 8  
		 C A M K 2 N 2  
		 C O L 4 A 1  
		 S I R P A  
		 K I A A 0 2 2 6  
		 U L K 1  
		 A D I P O R 2  
		 H P S 5  
		 I P 6 K 1  
		 U B F D 1  
		 P I T P N A  
		 A P 2 B 1  
		 T T C 9  
		 D N A L 1  
		 R B L 1  
		 T A O K 2  
		 A T L 3  
		 A H C T F 1  
		 C A M T A 2  
		 R A P G E F 5  
		 T M E M 1 3 3  
		 P L C X D 3  
		 R P S 6 K A 3  
		 R P S 6 K A 5  
		 C E P 9 7  
		 X I A P  
		 C D C 2 3  
		 I T G A 4  
		 M Y O 5 B  
		 P T B P 1  
		 N F I C  
		 K I F 5 A  
		 A B L 2  
		 A K T I P  
		 A R H G E F 2 8  
		 G O S R 1  
		 K I R R E L  
		 A P B B 2  
		 V P S 1 3 C  
		 N E K 9  
		 C T S A  
		 C 1 5 o r f 6 1  
		 S L C 2 5 A 3 6  
		 E 2 F 1  
		 V P S 1 3 A  
		 I L 1 R A P  
		 F O X K 2  
		 C M T R 2  
		 G P R 6  
		 S P T Y 2 D 1  
		 Y P E L 1  
		 P L E K H A 7  
		 S N X 1 2  
		 T M E D 8  
		 Z N F 6 9 7  
		 Z N F 8 2 7  
		 C N G B 3  
		 F A M 2 1 9 B  
		 V W A 7  
		 P A F A H 1 B 2  
		 S L C 1 6 A 6  
		 C N N M 3  
		 F R Z B  
		 R C O R 1  
		 P P M 1 A  
		 T T C 7 A  
		 S E R P 1  
		 Z N F 8 0 5  
		 I Q S E C 1  
		 A P C D D 1  
		 Z F Y V E 9  
		 S H F  
		 F B X O 4 1  
		 H I F 1 A  
		 F A M 2 1 6 B  
		 S L C 3 0 A 5  
		 P R D M 1 2  
		 N B E A L 1  
		 S Y T 7  
		 R P S 6 K A 6  
		 E R I 1  
		 A P P L 1  
		 C Y B R D 1  
		 S L C 4 6 A 3  
		 P K D 2  
		 P D K 3  
		 P L E K H O 2  
		 Z H X 2  
		 A K 4  
		 S L C 4 1 A 1  
		 S L C 4 5 A 4  
		 M Y O 9 A  
		 S M U R F 1  
		 P E R 1  
		 F A M 1 3 4 A  
		 T B C 1 D 2 0  
		 Z R A N B 1  
		 G R I K 1 - A S 2  
		 T M E M 1 0 0  
